runtime,popularity,vote_average,popularity_log
162.0,150.437577,7.2,5.020173507037201
169.0,139.082615,6.9,4.942232355707408
148.0,107.376788,6.3,4.6856139332345075
165.0,112.31295,7.6,4.730153459825441
132.0,43.926995,6.1,3.805038839029222
139.0,115.699814,5.9,4.759604945460906
100.0,48.681969,7.4,3.9056420704952255
141.0,134.27922900000002,7.3,4.907341005283723
153.0,98.885637,7.4,4.604025901544294
151.0,155.790452,5.7,5.054910213205119
154.0,57.925623,5.4,4.076276021528289
106.0,107.928811,6.1,4.690694558768097
151.0,145.84737900000005,7.0,4.989393809340984
149.0,49.046956,5.9,3.912961684730849
143.0,99.398009,6.5,4.609142376383708
150.0,53.978602,6.3,4.006944054985661
143.0,144.448633,7.4,4.979822986478345
136.0,135.413856,6.4,4.915693323827812
106.0,52.035179,6.2,3.9709554480813694
144.0,120.965743,7.1,4.803740210220969
136.0,89.866276,6.5,4.509388931245389
140.0,37.668301,6.2,3.6550201687863995
161.0,94.370564,7.6,4.5577699773827085
113.0,42.990906,5.8,3.783982930738449
147.0,198.372395,7.1,5.295174407623029
131.0,64.928382,5.5,4.188569031644029
124.0,418.708552,6.5,6.039560546591324
143.0,93.004993,6.9,4.543347897880621
127.0,35.149586,6.7,3.587665496257038
130.0,77.68208,6.8,4.365415429368683
108.0,78.530105,6.4,4.376135629224679
104.0,3.857526,6.3,1.58052925480274
104.0,89.186492,7.0,4.501879659756453
150.0,21.939663,6.0,3.13286742109637
165.0,116.840296,5.8,4.769330284031736
130.0,46.985445,5.7,3.8708977357579646
142.0,89.270217,6.5,4.502807583206587
125.0,73.79505,6.3,4.314751706320084
106.0,49.98659,5.8,3.9315626569727633
114.0,51.872839,5.1,3.9678897665548822
103.0,59.99541800000001,7.6,4.1107987465979585
115.0,71.862892,5.9,4.288579483353765
137.0,102.322217,7.3,4.637852425604862
116.0,81.834855,6.7,4.416848926921172
131.0,118.078691,7.5,4.779784543477146
132.0,78.29101800000002,7.4,4.373124856147532
114.0,43.349855,5.5,3.7921094393026675
143.0,61.196071,7.3,4.13029183054743
116.0,62.169881,6.2,4.145827621103231
131.0,56.523205,6.7,4.052188431610156
154.0,28.529607,6.1,3.3853933871674418
122.0,75.674458,5.7,4.339568641178461
93.0,51.692953,6.6,3.9644817274410267
93.0,125.114374,6.7,4.837189225372334
122.0,65.352913,6.6,4.194987663356308
98.0,66.390712,7.8,4.210507204268094
91.0,22.57178,6.1,3.160050233825037
158.0,45.274225,5.6,3.834585110615373
96.0,39.744242,6.6,3.7073145290895027
124.0,85.36908000000003,5.2,4.458629741388757
109.0,42.741719,5.5,3.7783023148879034
143.0,67.391328,6.7,4.2252460329650505
144.0,139.272042,6.4,4.943583694264458
152.0,187.322927,8.2,5.238158186084468
96.0,92.201962,7.7,4.534768772972112
94.0,36.167578000000006,6.0,3.6154368221108215
126.0,120.725053,7.4,4.801764837476351
126.0,32.319043,7.0,3.5061290953975766
106.0,40.748915,5.1,3.731673462935218
112.0,60.034162,5.2,4.11143374020036
123.0,90.23792,5.9,4.51347060013748
96.0,27.082182,5.3,3.335135282691319
113.0,79.456485,7.6,4.387716479263615
135.0,44.640291999999995,5.9,3.8207909228699903
118.0,32.852443,5.6,3.5220111680982233
94.0,128.65596399999998,8.0,4.864884511697977
106.0,94.199316,6.7,4.5559727568975585
124.0,77.30019399999998,6.6,4.360550080643751
127.0,77.178973,5.8,4.359000723926518
97.0,110.620647,7.0,4.715106041795737
130.0,243.79174300000005,7.3,5.500407820494153
109.0,2.418535,4.8,1.2292120967279583
119.0,41.796339,5.9,3.756452561546043
136.0,72.22526500000002,7.6,4.293540511689837
93.0,44.041186,6.0,3.8075773156339507
130.0,130.311355,6.2,4.877571258909897
102.0,203.73459,7.8,5.321714457385551
108.0,62.341073,7.1,4.14853398128908
100.0,47.323228,6.4,3.8779123560309907
120.0,48.775723,4.9,3.9075273752089066
98.0,67.263269,7.5,4.223371832750837
109.0,69.405188,5.9,4.254266953630606
121.0,481.098624,7.9,6.178148707227873
169.0,724.247784,8.1,6.586513367498742
148.0,167.58371,8.1,5.127432421682736
120.0,9.476999,6.5,2.3491822829236533
169.0,108.849621,7.0,4.699112348665359
106.0,6.909942,6.6,2.068120449262161
166.0,60.269279,7.3,4.11527855908223
132.0,3.195174,7.1,1.4339348170089237
137.0,127.284427,6.6,4.854249884675382
109.0,35.580815,5.8,3.599523922648916
99.0,21.133748,5.5,3.0971035025785407
113.0,56.268916,6.5,4.047757998341177
93.0,42.986467,6.0,3.783882018427649
123.0,63.148529,6.3,4.161201160167402
126.0,202.042635,5.8,5.313415981620244
113.0,49.661984,6.2,3.9251758068544462
144.0,25.468493,6.6,3.2759550822420254
175.0,39.019229,5.6,3.6893600636026913
138.0,78.14439499999997,7.4,4.371273968911125
157.0,101.250416,7.5,4.6274248633742925
92.0,56.758410999999995,6.2,4.056268983818342
101.0,70.867401,6.9,4.274822768310819
115.0,53.90559200000001,6.7,4.005615201251817
111.0,65.677399,7.5,4.199866049923233
140.0,115.040024,7.5,4.753935166078414
89.0,44.141021,6.2,3.8097913896537543
105.0,81.781591,5.9,4.416205705754157
107.0,5.954333999999999,6.2,1.939365062343113
129.0,73.313918,6.4,4.308298255850111
102.0,165.125366,7.3,5.112742720191253
138.0,70.78591,6.7,4.27368821724236
112.0,99.499595,6.8,4.610153697640264
120.0,434.278564,7.2,6.075986203146313
138.0,67.447636,6.5,4.2260690149802915
115.0,86.493424,6.6,4.47156363625363
98.0,41.845878000000006,6.3,3.7576094443839816
88.0,26.710398,5.1,3.3218077218175712
99.0,44.927634999999995,5.5,3.827067005612018
113.0,50.306728,5.7,3.9378218936747675
131.0,114.52223700000002,7.1,4.749463039569213
102.0,21.214571,5.5,3.100748424925242
91.0,29.332905,5.7,3.412233096869919
91.0,51.247321,6.7,3.9559886168031566
103.0,33.769335999999996,4.7,3.548735848914787
126.0,63.079003,6.5,4.160116743962412
131.0,39.004588,6.4,3.6889941475363943
88.0,12.362599,5.5,2.5924596851169834
85.0,22.550135,6.0,3.1591315529300728
111.0,48.03528,5.9,3.8925400390349756
92.0,38.73494,6.7,3.6822309013872276
163.0,66.803149,6.9,4.216608639295523
93.0,44.989192,6.4,3.828406412360748
133.0,54.159392,5.8,4.010227030384295
116.0,66.21806,5.3,4.207941961422292
151.0,58.485967,6.4,4.0857404359954
88.0,91.332849,6.0,4.525399972018106
115.0,35.60166500000001,5.5,3.6000937311758787
95.0,56.747978,6.7,4.056088335801921
133.0,77.77476999999998,6.8,4.366592767931047
97.0,61.788035,7.1,4.139764529844162
90.0,25.159168,5.9,3.2641997218018854
154.0,52.341226,7.3,3.9767095031166475
