runtime,popularity,vote_average,popularity_log,runtime_category,runtime_squared,runtime_x_rating,rating_category
162.0,150.437577,7.2,5.020173507037201,Very Long,26244.0,1166.4,Good
169.0,139.082615,6.9,4.942232355707408,Very Long,28561.0,1166.1000000000001,Good
148.0,107.376788,6.3,4.6856139332345075,Long,21904.0,932.4,Average
165.0,112.31295,7.6,4.730153459825441,Very Long,27225.0,1254.0,Good
132.0,43.926995,6.1,3.805038839029222,Long,17424.0,805.1999999999999,Average
139.0,115.699814,5.9,4.759604945460906,Long,19321.0,820.1,Average
100.0,48.681969,7.4,3.9056420704952255,Standard,10000.0,740.0,Good
141.0,134.27922900000002,7.3,4.907341005283723,Long,19881.0,1029.3,Good
153.0,98.885637,7.4,4.604025901544294,Very Long,23409.0,1132.2,Good
151.0,155.790452,5.7,5.054910213205119,Very Long,22801.0,860.7,Average
154.0,57.925623,5.4,4.076276021528289,Very Long,23716.0,831.6,Average
106.0,107.928811,6.1,4.690694558768097,Standard,11236.0,646.5999999999999,Average
151.0,145.84737900000005,7.0,4.989393809340984,Very Long,22801.0,1057.0,Good
149.0,49.046956,5.9,3.912961684730849,Long,22201.0,879.1,Average
143.0,99.398009,6.5,4.609142376383708,Long,20449.0,929.5,Average
150.0,53.978602,6.3,4.006944054985661,Long,22500.0,945.0,Average
143.0,144.448633,7.4,4.979822986478345,Long,20449.0,1058.2,Good
136.0,135.413856,6.4,4.915693323827812,Long,18496.0,870.4000000000001,Average
106.0,52.035179,6.2,3.9709554480813694,Standard,11236.0,657.2,Average
144.0,120.965743,7.1,4.803740210220969,Long,20736.0,1022.4,Good
136.0,89.866276,6.5,4.509388931245389,Long,18496.0,884.0,Average
140.0,37.668301,6.2,3.6550201687863995,Long,19600.0,868.0,Average
161.0,94.370564,7.6,4.5577699773827085,Very Long,25921.0,1223.6,Good
113.0,42.990906,5.8,3.783982930738449,Standard,12769.0,655.4,Average
147.0,198.372395,7.1,5.295174407623029,Long,21609.0,1043.7,Good
131.0,64.928382,5.5,4.188569031644029,Long,17161.0,720.5,Average
124.0,418.708552,6.5,6.039560546591324,Long,15376.0,806.0,Average
143.0,93.004993,6.9,4.543347897880621,Long,20449.0,986.7,Good
127.0,35.149586,6.7,3.587665496257038,Long,16129.0,850.9,Good
130.0,77.68208,6.8,4.365415429368683,Long,16900.0,884.0,Good
108.0,78.530105,6.4,4.376135629224679,Standard,11664.0,691.2,Average
104.0,3.857526,6.3,1.58052925480274,Standard,10816.0,655.1999999999999,Average
104.0,89.186492,7.0,4.501879659756453,Standard,10816.0,728.0,Good
150.0,21.939663,6.0,3.13286742109637,Long,22500.0,900.0,Average
165.0,116.840296,5.8,4.769330284031736,Very Long,27225.0,957.0,Average
130.0,46.985445,5.7,3.8708977357579646,Long,16900.0,741.0,Average
142.0,89.270217,6.5,4.502807583206587,Long,20164.0,923.0,Average
125.0,73.79505,6.3,4.314751706320084,Long,15625.0,787.5,Average
106.0,49.98659,5.8,3.9315626569727633,Standard,11236.0,614.8,Average
114.0,51.872839,5.1,3.9678897665548822,Standard,12996.0,581.4,Average
103.0,59.99541800000001,7.6,4.1107987465979585,Standard,10609.0,782.8,Good
115.0,71.862892,5.9,4.288579483353765,Standard,13225.0,678.5,Average
137.0,102.322217,7.3,4.637852425604862,Long,18769.0,1000.1,Good
116.0,81.834855,6.7,4.416848926921172,Standard,13456.0,777.2,Good
131.0,118.078691,7.5,4.779784543477146,Long,17161.0,982.5,Good
132.0,78.29101800000002,7.4,4.373124856147532,Long,17424.0,976.8000000000001,Good
114.0,43.349855,5.5,3.7921094393026675,Standard,12996.0,627.0,Average
143.0,61.196071,7.3,4.13029183054743,Long,20449.0,1043.8999999999999,Good
116.0,62.169881,6.2,4.145827621103231,Standard,13456.0,719.2,Average
131.0,56.523205,6.7,4.052188431610156,Long,17161.0,877.7,Good
154.0,28.529607,6.1,3.3853933871674418,Very Long,23716.0,939.4,Average
122.0,75.674458,5.7,4.339568641178461,Long,14884.0,695.4,Average
93.0,51.692953,6.6,3.9644817274410267,Standard,8649.0,613.8,Good
93.0,125.114374,6.7,4.837189225372334,Standard,8649.0,623.1,Good
122.0,65.352913,6.6,4.194987663356308,Long,14884.0,805.1999999999999,Good
98.0,66.390712,7.8,4.210507204268094,Standard,9604.0,764.4,Good
91.0,22.57178,6.1,3.160050233825037,Standard,8281.0,555.1,Average
158.0,45.274225,5.6,3.834585110615373,Very Long,24964.0,884.8,Average
96.0,39.744242,6.6,3.7073145290895027,Standard,9216.0,633.5999999999999,Good
124.0,85.36908000000003,5.2,4.458629741388757,Long,15376.0,644.8000000000001,Average
109.0,42.741719,5.5,3.7783023148879034,Standard,11881.0,599.5,Average
143.0,67.391328,6.7,4.2252460329650505,Long,20449.0,958.1,Good
144.0,139.272042,6.4,4.943583694264458,Long,20736.0,921.6,Average
152.0,187.322927,8.2,5.238158186084468,Very Long,23104.0,1246.3999999999999,Excellent
